@id,@lat,@lon,name,leisure,sport
24208013,55.7944901,-4.3972142,,pitch,tennis
24215666,51.6419511,-0.1244891,,pitch,tennis
24256847,51.8085285,-0.3597215,,pitch,tennis
24313795,51.4908057,-0.3182285,,pitch,tennis
24321720,52.3982223,-0.6956866,,pitch,tennis
24384629,51.4947609,-0.2572079,,pitch,tennis
24384935,52.3939661,-1.5216036,,pitch,tennis
24384936,52.3936562,-1.5214239,,pitch,tennis
24417663,51.5339434,-2.5553856,,pitch,tennis
24472044,51.2587740,-1.0877626,Waverley Lawn Tennis Club,pitch,tennis
24527438,51.3729218,-0.2408552,,pitch,tennis
24532080,51.3859124,-0.2343413,,pitch,tennis
24539483,51.3762771,-0.1938195,Rosehill Community Tennis,,tennis
24539522,51.3781273,-0.1955762,Indoor Tennis Courts,sports_hall,tennis
24539527,51.3780416,-0.1948681,,pitch,tennis
24539529,51.3792536,-0.1952106,,pitch,tennis
24539695,53.6574026,-1.4760468,,pitch,tennis
24585183,51.3622851,-0.2219830,,pitch,tennis
24607367,50.9240977,-1.4981825,Outdoor Tennis Court,pitch,tennis
24615552,51.4363154,-0.5215072,Tennis Courts,pitch,tennis
24615718,52.4277294,-1.9391433,,pitch,tennis
24620340,51.4032464,-0.2760739,Park Tennis Kingston,sports_centre,tennis
24629244,51.3068544,-0.5798640,Woking Lawn Tennis & Croquet Club,,tennis
24633841,51.3075092,-0.5485066,,pitch,tennis
24645902,51.3124245,-0.5565436,,pitch,tennis
24648548,51.4927288,-2.6262127,,pitch,tennis
24678202,51.6542141,-0.2105460,,pitch,tennis
24693534,51.6557681,-0.1774788,,pitch,tennis
24745484,50.9218480,-0.1182524,,pitch,tennis
24750961,51.4947980,-0.3752266,,pitch,tennis
24751862,51.6433782,-0.2411687,,pitch,tennis
24751880,51.6431018,-0.2446687,,pitch,tennis
24751885,51.6434649,-0.2442934,,pitch,tennis
24760260,51.3526669,-0.1849907,,pitch,tennis
24772363,51.6468193,-0.1833615,,pitch,tennis
24777615,51.3549584,-0.1700584,,pitch,tennis
24777616,51.3549818,-0.1698611,,pitch,tennis
24777617,51.3546381,-0.1699045,,pitch,tennis
24777618,51.3546114,-0.1701082,,pitch,tennis
24777619,51.3543131,-0.1699272,,pitch,tennis
24777620,51.3542840,-0.1701321,,pitch,tennis
24777621,51.3543420,-0.1697197,,pitch,tennis
24795043,51.4866637,-2.6471384,,pitch,tennis
24821776,50.7820221,-1.0674968,Public Tennis Courts,,tennis
24822663,51.4956975,-0.0583437,,pitch,tennis
24922668,52.5182041,-1.8375511,,pitch,tennis
24924742,54.7661008,-1.5756539,,,tennis
24975589,51.4853384,-0.1353769,,pitch,tennis
24975737,51.4932141,-0.1365524,,pitch,tennis
24997841,52.0642665,1.1869173,St John's Tennis Club,sports_centre,tennis
25119590,52.0469854,-0.0200515,,pitch,tennis
25200372,51.5795488,-0.3952118,Lowlands Tennis Club,sports_centre,tennis
25292508,51.5511111,-0.1634104,Globe Tennis Club,sports_centre,tennis
25360522,53.5097576,-1.0932316,,pitch,tennis
25396729,51.6089116,0.0428937,,pitch,tennis
25418792,50.8153510,-0.7573534,,pitch,tennis
25527992,52.4168423,-1.9668154,,pitch,tennis
25533924,53.6595144,-1.5754625,,pitch,tennis
25539904,51.4816659,-0.8671430,,pitch,tennis
25596168,52.9816167,-0.9668968,,,tennis
25605700,51.4965307,-0.2208593,Brook Green Tennis Courts,,tennis
25694730,51.4482090,-0.3238144,,pitch,tennis
25709320,51.5172800,-2.6270063,,pitch,tennis
25795673,52.0577725,1.2872507,,pitch,tennis
25795677,52.0582432,1.2876299,,pitch,tennis
25795771,50.9532325,-1.3751746,,pitch,tennis
25795877,50.9526439,-1.3759377,,pitch,tennis
25820114,51.7174329,-0.5335900,,pitch,tennis
25850636,51.2943749,-0.7328016,,pitch,tennis
25864167,51.4818135,-0.1533841,Aceify,,tennis
25872161,51.2767658,-0.7260135,,pitch,tennis
25892122,51.7282346,-0.3538965,,pitch,tennis
